date,composite,label,wasde_signal,cot_signal,price_signal,carry_signal,macro_signal,fe_vs_ct_signal,gain_india_signal,gain_china_signal,gain_brazil_signal,n_components,data_status,model_version
2026-06-12,-0.2323,MILDLY BEARISH,-0.125,-0.471,-0.7691,-0.3606,-0.1684,0.5,,,,6,ok,v2.2
2026-06-15,-0.2264,MILDLY BEARISH,-0.425,-0.5311,-0.5979,-0.1263,-0.1782,0.5,,,,6,ok,v2.3
2026-06-16,-0.2588,MILDLY BEARISH,-0.425,-0.5311,-0.5653,-0.095,-0.4363,0.5,,,,6,ok,v2.3
2026-06-17,-0.0148,NEUTRAL,-0.425,-0.5311,0.7644,-0.037,-0.36,0.5,,,,6,ok,v2.3
2026-06-18,-0.1075,NEUTRAL,-0.425,-0.5311,0.7366,-0.143,-0.7824,0.5,,,,6,ok,v2.3
2026-06-22,-0.091,NEUTRAL,-0.425,-0.4426,0.7533,-0.2062,-0.7258,0.5,,,,6,ok,v2.3
2026-06-23,-0.086,NEUTRAL,-0.425,-0.4426,0.8414,-0.208,-0.7817,0.5,,,,6,ok,v2.3
2026-06-24,-0.0491,NEUTRAL,-0.425,-0.4426,1,-0.0163,-0.9106,0.5,,,,6,ok,v2.3
2026-06-25,-0.2549,MILDLY BEARISH,-0.425,-0.4426,-0.3097,-0.0231,-0.8291,0.5,,,,6,ok,v2.3
2026-06-26,-0.1536,MILDLY BEARISH,-0.425,-0.2817,-0.045,-0.0149,-0.6548,0.5,,,,6,ok,v2.3
2026-06-30,-0.1923,MILDLY BEARISH,-0.425,-0.2817,-0.3705,-0.0174,-0.5595,0.5,,,,6,ok,v2.3
2026-07-07,0.1023,NEUTRAL,-0.1786,-0.3233,0.8333,-0.0343,-0.1836,0.5,,,,6,ok,v2.4
2026-07-08,0.0897,NEUTRAL,-0.1786,-0.3233,0.7502,-0.0379,-0.1721,0.5,,,,6,ok,v2.4
2026-07-10,0.1623,MILDLY BULLISH,-0.0357,-0.2145,0.6877,-0.0145,0.0506,0.5,,,,6,ok,v2.4
2026-07-13,0.1839,MILDLY BULLISH,-0.0357,-0.2145,0.6924,-0.0299,0.1913,0.5,,,,6,ok,v2.4
2026-07-14,0.2729,MILDLY BULLISH,-0.0357,-0.2145,0.6602,-0.0239,0.7514,0.5,,,,6,ok,v2.4
2026-07-15,0.2722,MILDLY BULLISH,-0.0357,-0.2145,0.7078,-0.0189,0.6946,0.5,,,,6,ok,v2.4
2026-07-16,0.2493,MILDLY BULLISH,-0.0357,-0.2145,0.5579,-0.03,0.7184,0.5,,,,6,ok,v2.4
2026-07-17,0.0363,NEUTRAL,-0.0357,-0.241,-0.4528,-0.031,0.478,0.5,,,,6,ok,v2.4
